orderNumber,warehouseCode,shippedDate,requiredDate,orderDate,delivery_margin_days
10100,c,2003-01-10,2003-01-13,2003-01-06,3
10100,c,2003-01-10,2003-01-13,2003-01-06,3
10100,c,2003-01-10,2003-01-13,2003-01-06,3
10100,c,2003-01-10,2003-01-13,2003-01-06,3
10101,c,2003-01-11,2003-01-18,2003-01-09,7
10101,c,2003-01-11,2003-01-18,2003-01-09,7
10101,c,2003-01-11,2003-01-18,2003-01-09,7
10101,c,2003-01-11,2003-01-18,2003-01-09,7
10102,c,2003-01-14,2003-01-18,2003-01-10,4
10102,c,2003-01-14,2003-01-18,2003-01-10,4
10103,b,2003-02-02,2003-02-07,2003-01-29,5
10103,b,2003-02-02,2003-02-07,2003-01-29,5
10103,d,2003-02-02,2003-02-07,2003-01-29,5
10103,d,2003-02-02,2003-02-07,2003-01-29,5
10103,d,2003-02-02,2003-02-07,2003-01-29,5
10103,c,2003-02-02,2003-02-07,2003-01-29,5
10103,c,2003-02-02,2003-02-07,2003-01-29,5
10103,c,2003-02-02,2003-02-07,2003-01-29,5
10103,c,2003-02-02,2003-02-07,2003-01-29,5
10103,d,2003-02-02,2003-02-07,2003-01-29,5
10103,c,2003-02-02,2003-02-07,2003-01-29,5
10103,d,2003-02-02,2003-02-07,2003-01-29,5
10103,c,2003-02-02,2003-02-07,2003-01-29,5
10103,d,2003-02-02,2003-02-07,2003-01-29,5
10103,d,2003-02-02,2003-02-07,2003-01-29,5
10103,b,2003-02-02,2003-02-07,2003-01-29,5
10104,b,2003-02-01,2003-02-09,2003-01-31,8
10104,d,2003-02-01,2003-02-09,2003-01-31,8
10104,b,2003-02-01,2003-02-09,2003-01-31,8
10104,d,2003-02-01,2003-02-09,2003-01-31,8
10104,b,2003-02-01,2003-02-09,2003-01-31,8
10104,b,2003-02-01,2003-02-09,2003-01-31,8
10104,b,2003-02-01,2003-02-09,2003-01-31,8
10104,b,2003-02-01,2003-02-09,2003-01-31,8
10104,b,2003-02-01,2003-02-09,2003-01-31,8
10104,d,2003-02-01,2003-02-09,2003-01-31,8
10104,d,2003-02-01,2003-02-09,2003-01-31,8
10104,d,2003-02-01,2003-02-09,2003-01-31,8
10104,d,2003-02-01,2003-02-09,2003-01-31,8
10105,b,2003-02-12,2003-02-21,2003-02-11,9
10105,b,2003-02-12,2003-02-21,2003-02-11,9
10105,b,2003-02-12,2003-02-21,2003-02-11,9
10105,c,2003-02-12,2003-02-21,2003-02-11,9
10105,d,2003-02-12,2003-02-21,2003-02-11,9
10105,c,2003-02-12,2003-02-21,2003-02-11,9
10105,d,2003-02-12,2003-02-21,2003-02-11,9
10105,c,2003-02-12,2003-02-21,2003-02-11,9
10105,c,2003-02-12,2003-02-21,2003-02-11,9
10105,d,2003-02-12,2003-02-21,2003-02-11,9
10105,d,2003-02-12,2003-02-21,2003-02-11,9
10105,d,2003-02-12,2003-02-21,2003-02-11,9
10105,d,2003-02-12,2003-02-21,2003-02-11,9
10105,d,2003-02-12,2003-02-21,2003-02-11,9
10105,d,2003-02-12,2003-02-21,2003-02-11,9
10106,a,2003-02-21,2003-02-24,2003-02-17,3
10106,a,2003-02-21,2003-02-24,2003-02-17,3
10106,d,2003-02-21,2003-02-24,2003-02-17,3
10106,c,2003-02-21,2003-02-24,2003-02-17,3
10106,a,2003-02-21,2003-02-24,2003-02-17,3
10106,a,2003-02-21,2003-02-24,2003-02-17,3
10106,c,2003-02-21,2003-02-24,2003-02-17,3
10106,a,2003-02-21,2003-02-24,2003-02-17,3
10106,a,2003-02-21,2003-02-24,2003-02-17,3
10106,c,2003-02-21,2003-02-24,2003-02-17,3
10106,c,2003-02-21,2003-02-24,2003-02-17,3
10106,a,2003-02-21,2003-02-24,2003-02-17,3
10106,d,2003-02-21,2003-02-24,2003-02-17,3
10106,a,2003-02-21,2003-02-24,2003-02-17,3
10106,a,2003-02-21,2003-02-24,2003-02-17,3
10106,a,2003-02-21,2003-02-24,2003-02-17,3
10106,a,2003-02-21,2003-02-24,2003-02-17,3
10106,a,2003-02-21,2003-02-24,2003-02-17,3
10107,a,2003-02-26,2003-03-03,2003-02-24,5
10107,a,2003-02-26,2003-03-03,2003-02-24,5
10107,a,2003-02-26,2003-03-03,2003-02-24,5
10107,a,2003-02-26,2003-03-03,2003-02-24,5
10107,a,2003-02-26,2003-03-03,2003-02-24,5
10107,a,2003-02-26,2003-03-03,2003-02-24,5
10107,a,2003-02-26,2003-03-03,2003-02-24,5
10107,a,2003-02-26,2003-03-03,2003-02-24,5
10108,b,2003-03-08,2003-03-12,2003-03-03,4
10108,b,2003-03-08,2003-03-12,2003-03-03,4
10108,b,2003-03-08,2003-03-12,2003-03-03,4
10108,b,2003-03-08,2003-03-12,2003-03-03,4
10108,b,2003-03-08,2003-03-12,2003-03-03,4
10108,b,2003-03-08,2003-03-12,2003-03-03,4
10108,b,2003-03-08,2003-03-12,2003-03-03,4
10108,a,2003-03-08,2003-03-12,2003-03-03,4
10108,b,2003-03-08,2003-03-12,2003-03-03,4
10108,a,2003-03-08,2003-03-12,2003-03-03,4
10108,b,2003-03-08,2003-03-12,2003-03-03,4
10108,b,2003-03-08,2003-03-12,2003-03-03,4
10108,b,2003-03-08,2003-03-12,2003-03-03,4
10108,a,2003-03-08,2003-03-12,2003-03-03,4
10108,a,2003-03-08,2003-03-12,2003-03-03,4
10108,a,2003-03-08,2003-03-12,2003-03-03,4
10109,b,2003-03-11,2003-03-19,2003-03-10,8
10109,b,2003-03-11,2003-03-19,2003-03-10,8
10109,b,2003-03-11,2003-03-19,2003-03-10,8
10109,b,2003-03-11,2003-03-19,2003-03-10,8
10109,b,2003-03-11,2003-03-19,2003-03-10,8
10109,b,2003-03-11,2003-03-19,2003-03-10,8
10110,b,2003-03-20,2003-03-24,2003-03-18,4
10110,c,2003-03-20,2003-03-24,2003-03-18,4
10110,c,2003-03-20,2003-03-24,2003-03-18,4
10110,c,2003-03-20,2003-03-24,2003-03-18,4
10110,c,2003-03-20,2003-03-24,2003-03-18,4
10110,c,2003-03-20,2003-03-24,2003-03-18,4
10110,b,2003-03-20,2003-03-24,2003-03-18,4
10110,b,2003-03-20,2003-03-24,2003-03-18,4
10110,b,2003-03-20,2003-03-24,2003-03-18,4
10110,c,2003-03-20,2003-03-24,2003-03-18,4
10110,c,2003-03-20,2003-03-24,2003-03-18,4
10110,b,2003-03-20,2003-03-24,2003-03-18,4
10110,b,2003-03-20,2003-03-24,2003-03-18,4
10110,b,2003-03-20,2003-03-24,2003-03-18,4
10110,b,2003-03-20,2003-03-24,2003-03-18,4
10110,c,2003-03-20,2003-03-24,2003-03-18,4
10111,c,2003-03-30,2003-03-31,2003-03-25,1
10111,c,2003-03-30,2003-03-31,2003-03-25,1
10111,c,2003-03-30,2003-03-31,2003-03-25,1
10111,c,2003-03-30,2003-03-31,2003-03-25,1
10111,c,2003-03-30,2003-03-31,2003-03-25,1
10111,c,2003-03-30,2003-03-31,2003-03-25,1
10112,b,2003-03-29,2003-04-03,2003-03-24,5
10112,c,2003-03-29,2003-04-03,2003-03-24,5
10113,d,2003-03-27,2003-04-02,2003-03-26,6
10113,d,2003-03-27,2003-04-02,2003-03-26,6
10113,c,2003-03-27,2003-04-02,2003-03-26,6
10113,d,2003-03-27,2003-04-02,2003-03-26,6
10114,b,2003-04-02,2003-04-07,2003-04-01,5
10114,d,2003-04-02,2003-04-07,2003-04-01,5
10114,d,2003-04-02,2003-04-07,2003-04-01,5
10114,b,2003-04-02,2003-04-07,2003-04-01,5
10114,d,2003-04-02,2003-04-07,2003-04-01,5
10114,d,2003-04-02,2003-04-07,2003-04-01,5
10114,b,2003-04-02,2003-04-07,2003-04-01,5
10114,d,2003-04-02,2003-04-07,2003-04-01,5
10114,d,2003-04-02,2003-04-07,2003-04-01,5
10114,b,2003-04-02,2003-04-07,2003-04-01,5
10115,d,2003-04-07,2003-04-12,2003-04-04,5
10115,b,2003-04-07,2003-04-12,2003-04-04,5
10115,b,2003-04-07,2003-04-12,2003-04-04,5
10115,b,2003-04-07,2003-04-12,2003-04-04,5
10115,d,2003-04-07,2003-04-12,2003-04-04,5
10116,d,2003-04-13,2003-04-19,2003-04-11,6
10117,b,2003-04-17,2003-04-24,2003-04-16,7
10117,b,2003-04-17,2003-04-24,2003-04-16,7
10117,b,2003-04-17,2003-04-24,2003-04-16,7
10117,c,2003-04-17,2003-04-24,2003-04-16,7
10117,d,2003-04-17,2003-04-24,2003-04-16,7
10117,b,2003-04-17,2003-04-24,2003-04-16,7
10117,c,2003-04-17,2003-04-24,2003-04-16,7
10117,d,2003-04-17,2003-04-24,2003-04-16,7
10117,d,2003-04-17,2003-04-24,2003-04-16,7
10117,d,2003-04-17,2003-04-24,2003-04-16,7
10117,d,2003-04-17,2003-04-24,2003-04-16,7
10117,d,2003-04-17,2003-04-24,2003-04-16,7
10118,d,2003-04-26,2003-04-29,2003-04-21,3
10119,b,2003-05-02,2003-05-05,2003-04-28,3
10119,a,2003-05-02,2003-05-05,2003-04-28,3
10119,d,2003-05-02,2003-05-05,2003-04-28,3
10119,c,2003-05-02,2003-05-05,2003-04-28,3
10119,a,2003-05-02,2003-05-05,2003-04-28,3
10119,c,2003-05-02,2003-05-05,2003-04-28,3
10119,c,2003-05-02,2003-05-05,2003-04-28,3
10119,c,2003-05-02,2003-05-05,2003-04-28,3
10119,a,2003-05-02,2003-05-05,2003-04-28,3
10119,d,2003-05-02,2003-05-05,2003-04-28,3
10119,d,2003-05-02,2003-05-05,2003-04-28,3
10119,d,2003-05-02,2003-05-05,2003-04-28,3
10119,a,2003-05-02,2003-05-05,2003-04-28,3
10119,a,2003-05-02,2003-05-05,2003-04-28,3
10120,a,2003-05-01,2003-05-08,2003-04-29,7
10120,a,2003-05-01,2003-05-08,2003-04-29,7
10120,a,2003-05-01,2003-05-08,2003-04-29,7
10120,a,2003-05-01,2003-05-08,2003-04-29,7
10120,a,2003-05-01,2003-05-08,2003-04-29,7
10120,a,2003-05-01,2003-05-08,2003-04-29,7
10120,a,2003-05-01,2003-05-08,2003-04-29,7
10120,a,2003-05-01,2003-05-08,2003-04-29,7
10120,a,2003-05-01,2003-05-08,2003-04-29,7
10120,c,2003-05-01,2003-05-08,2003-04-29,7
