order_month,warehouseCode,monthly_revenue
2003-01,a,0.00
2003-01,b,36552.33
2003-01,c,40950.66
2003-01,d,39189.78
2003-02,a,59428.89
2003-02,b,18941.04
2003-02,c,22252.98
2003-02,d,27780.73
2003-03,a,10769.60
2003-03,b,97088.18
2003-03,c,43778.56
2003-03,d,8880.80
2003-04,a,55507.70
2003-04,b,57545.22
2003-04,c,18134.62
2003-04,d,54661.05
2003-05,a,19815.06
2003-05,b,92905.94
2003-05,c,43611.29
2003-05,d,23103.26
2003-06,a,34755.73
2003-06,b,43840.24
2003-06,c,24517.73
2003-06,d,47357.07
2003-07,a,35108.43
2003-07,b,101011.32
2003-07,c,42271.15
2003-07,d,23549.46
2003-08,a,68888.31
2003-08,b,44311.72
2003-08,c,21048.68
2003-08,d,44008.40
2003-09,a,2834.10
2003-09,b,123645.39
2003-09,c,48573.06
2003-09,d,61645.30
2003-10,a,119334.29
2003-10,b,203888.31
2003-10,c,83997.58
2003-10,d,62948.94
2003-11,a,166313.71
2003-11,b,415952.81
2003-11,c,174109.42
2003-11,d,208685.61
2003-12,a,57016.13
2003-12,b,133704.28
2003-12,c,44289.59
2003-12,d,41713.25
2004-01,a,71146.11
2004-01,b,116763.05
2004-01,c,67163.72
2004-01,d,37312.33
2004-02,a,79694.73
2004-02,b,124584.27
2004-02,c,24433.23
2004-02,d,60790.61
2004-03,a,12114.26
2004-03,b,81638.73
2004-03,c,55499.83
2004-03,d,68438.44
2004-04,a,53996.65
2004-04,b,84319.06
2004-04,c,49260.06
2004-04,d,0.00
2004-05,a,83770.55
2004-05,b,70698.20
2004-05,c,12380.29
2004-05,d,40031.05
2004-06,a,54485.22
2004-06,b,52058.41
2004-06,c,48109.69
2004-06,d,58439.14
2004-07,a,53926.56
2004-07,b,133006.68
2004-07,c,72417.83
2004-07,d,66212.42
2004-08,a,89684.39
2004-08,b,201859.91
2004-08,c,65018.68
2004-08,d,62764.11
2004-09,a,67641.82
2004-09,b,86729.25
2004-09,c,62984.20
2004-09,d,66444.53
2004-10,a,67774.91
2004-10,b,202055.73
2004-10,c,107121.33
2004-10,d,123281.89
2004-11,a,226750.21
2004-11,b,404160.97
2004-11,c,183656.60
2004-11,d,164724.20
2004-12,a,111722.73
2004-12,b,131432.81
2004-12,c,75882.49
2004-12,d,109800.14
2005-01,a,42401.06
2005-01,b,140730.91
2005-01,c,62515.73
2005-01,d,62089.32
2005-02,a,61350.40
2005-02,b,148695.74
2005-02,c,59305.38
2005-02,d,47840.65
2005-03,a,112336.02
2005-03,b,103493.63
2005-03,c,61220.45
2005-03,d,82661.86
2005-04,a,123588.12
2005-04,b,123719.77
2005-04,c,69839.89
2005-04,d,6034.22
2005-05,a,46809.65
2005-05,b,177674.87
2005-05,c,65460.60
2005-05,d,112009.66
